priority_score,tax_delinquent,occupancy,property_address,unit,property_type,owner_name,owner_type,mailing_address,mailing_city,mailing_state,mailing_zip,foreign_address_hint,estate_or_heirs,life_estate,trust,corporate,care_of_mailing,et_al_multiple_owners,owner_next_door,likely_inherited,last_sale_date,last_sale_price,last_sale_type,years_since_last_sale,deed_book,deed_page,assessed_total,assessed_land,assessed_building,year_built,style,units,living_area_sqft,lot_size_sqft,zoning,parcel_id,use_code,use_description,tax_delinquent_detail,tax_delinquent_source,lat,lon,map_link,loc_id,data_vintage
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 28,28,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,275000,0,275000,1963,Condo,1,527,,4,12-131-28,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 3,3,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,284000,0,284000,1963,Condo,1,527,,4,12-131-3,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 30,30,Condominium,LION PROPERTIES LLC,LLC / corporate,8 GARRISON DRIVE,BEDFORD,MA,01730,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,336000,0,336000,1963,Condo,1,748,,4,12-131-30,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 31,31,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,305000,0,305000,1963,Condo,1,527,,4,12-131-31,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 33,33,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,299000,0,299000,1963,Condo,1,510,,4,12-131-33,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 34,34,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,275000,0,275000,1963,Condo,1,527,,4,12-131-34,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 37,37,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,305000,0,305000,1963,Condo,1,527,,4,12-131-37,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 39,39,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,286000,0,286000,1963,Condo,1,510,,4,12-131-39,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 4,4,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,243000,0,243000,1963,Condo,1,527,,4,12-131-4,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 40,40,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,288000,0,288000,1963,Condo,1,527,,4,12-131-40,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
5,,absentee - elsewhere in MA,125 TRAPELO RD UNIT 5,5,Condominium,125 TRAPELO LLC,LLC / corporate,74 CLARENDON ST STE A,BOSTON,MA,02116,,,,,YES,,,,,2008-10-07,1,nominal / non-arms-length transfer,18,106,1,338000,0,338000,1963,Condo,1,748,,4,12-131-5,102,Residential Condominium,,,42.381311,-71.175665,"https://maps.google.com/?q=42.381311,-71.175665",F_743795_2964145,CY24_FY24
